N	628	101	2024-03-29	. 라이스커피	2022-08-31	셀룰로오스	\N
N	628	102	2024-03-29	직원이 음료만드는 작업대 위에서 가위로 손톱손질하는집.. 원두향이 좋고 드립이 맛있지만 위생 아쉬움	2023-01-12	sk078	\N
N	628	103	2024-03-29	직원분 응대가 아쉽네요 커피는 강남이라그런지 비싸요	2022-12-26	김회장님ㄱㄱ	\N
N	628	104	2024-03-29	좋아요	2022-12-18	chelizi	\N
N	628	105	2024-03-29	커피나 음료는 별로지만 매장이 청결하	2022-09-27	요홀레이82	\N
N	628	106	2024-03-29	비싼데 맛은 평범하네요 호불호많이갈릴듯 소금커피는 맛있어요	2022-08-27	hyu****	\N
N	628	107	2024-03-29	굳	2023-03-16	NJstar	\N
N	628	108	2024-03-29	굳	2023-03-16	Mom738	\N
N	628	109	2024-03-29	소금커피, 버터스카치커피 매력적이예요 맛있어요!	2022-08-05	Jimi	\N
N	628	110	2024-03-29	굿	2023-01-03	han****	\N
N	628	111	2024-03-29	완전 커피 맛나고 좋아요  소금 커피 매력 있어요  버터스카치도 완전 제 스탈 입니다용 ㅋㅋ 크로와상도 맛나공 좋습니다요	2022-06-05	ULTRASUGI	\N
N	628	112	2024-03-29	좋아요	2022-12-04	부산사는목캔디	\N
N	628	113	2024-03-29	쌀커피 처음 먹어봤는데 오묘한 맛이에요	2022-09-17	오늘도파란만장	\N
N	628	114	2024-03-29	ㄱㆍㅅ	2022-12-30	minkjghf	\N
N	628	115	2024-03-29	4년 전에 정말 자주 갔었어요. 좋은 기억이 있어서 지인이랑 일부러 방문했는데 남자 직원 3분 다 불친절하고 스콘은 너무 차가워서 데워달라고 요청해서 먹었는데 맛이 퍽퍽하고 푸석푸석해서 여러모로 당황스러웠습니다. 사장님이 바뀌신걸까요 너무 속상하고 아쉽습니다	2022-07-24	yarari	\N
N	628	116	2024-03-29	소금커피 추천!	2022-10-02	금주50	\N
N	628	117	2024-03-29	소금커피 너무 맛있어요.  빨대로 드시지 마시고 컵채로  드세요. 빨대로 먹으면 짠맛만 느껴지고 생크림이랑 먹으면 맛이 오묘한게 맛있음. 	2022-10-08	움바르트	\N
N	628	118	2024-03-29	커피가 맛있어요	2022-12-09	삼삼ㅇ	\N
N	628	119	2024-03-29	만족스럽습니다 감사합니다 	2022-11-15	IllIlllIll	\N
N	628	120	2024-03-29	음료랑 빵 맛있어요!  분위기도 좋구요	2022-09-08	hea****	\N
N	628	121	2024-03-29	소금커피가 맛있어요~!	2022-11-17	ssoo0502	\N
N	628	122	2024-03-29	단체로 앉기 좋았어요	2022-11-20	다럄쥐	\N
N	628	123	2024-03-29	식물느낌의 분위기가 나구요 좌석도 폭신해요 시그니처 음료도 맛있어요 다만 양이 일반음료에 비해 좀 적은 편이에요	2022-08-06	오늘도파란만장	\N
N	628	124	2024-03-29	드립커피가 맛이 좋았어요	2022-10-06	lee****	\N
N	628	125	2024-03-29	알바들 엄청 불친절 합니다. 일할 생각이 없는듯? 주인은 관리도 안 하는듯?	2022-12-18	qud****	\N
N	628	126	2024-03-29	굳	2023-03-16	아빠6559	\N
N	628	127	2024-03-29	좋아용	2023-02-14	비앙까	\N
N	628	128	2024-03-29	소금커피 맛나요!! 또 사먹으려구용	2022-10-28	ado****	\N
N	628	129	2024-03-29	소금커피가 특이하고 맛있었다. 짠맛, 단맛이 다 느껴짐. 사진찍기 좋은 인테리어. 	2022-09-18	hja****	\N
N	628	130	2024-03-29	자몽티 맛있어요🫖	2022-12-30	JooAh	\N
N	628	131	2024-03-29	소금커피 맛있어요	2022-12-07	iryo	\N
N	628	132	2024-03-29	소금커피가 너무 맛있어요.계속 생각나는 맛!! 디저트도 완전 굿 입니당~	2022-11-06	스윗리치	\N
N	628	133	2024-03-29	소금커피. 마시러~ 까눌레 맛있어요.	2022-11-08	헤나79	\N
N	628	134	2024-03-29	커피도 진하고 분위기도 좋아요~	2022-11-12	하궁70	\N
N	628	135	2024-03-29	소금커피 맛있어요! 크림 달면서 짭쪼름해요(처음 맛은 영화관 카라멜팝콘느낌 났어요~) 크림도 크림인데 특히 커피가 맛있었어요 여태 먹은 아아중에 손꼽음!!	2022-10-15	닐리리맘보2188	\N
N	628	136	2024-03-29	굳	2023-04-13	비밀정원486	\N
N	628	137	2024-03-29	소금커피 줜마탱	2023-01-11	이소은730	\N
N	628	138	2024-03-29	굿굿	2023-07-20	김회장님ㄱㄱ	\N
N	628	139	2024-03-29	오~~ 디카페인 커피 맛있어요 사진도 동남아같이 나오네요 ㅎㅎ	2023-02-17	SooZZang	\N
N	628	140	2024-03-29	커피 맛있어요!	2023-01-26	애쩡애봉	\N
N	628	141	2024-03-29	후추커피가 색다른 맛입니다	2023-03-01	yys****	\N
