0	몽바커피	37.5007867079653	127.034592215767	몽바커피	\N	//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FE5DED88BE8D445DA97457F94F9B8C8C0	서울 강남구 테헤란로21길 8	02-3452-5058	\N	5.0	NULL	NULL	2024-03-30	\N	0
1	비에이블스터디카페 대치2센터	37.497960573283976	127.05510480981856	비에이블스터디카페 대치2센터	\N	NULL	서울 강남구 선릉로62길 33	010-4186-3008	\N	0.0	NULL	NULL	2024-03-30	\N	0
2	한일다방	37.4952358832384	127.036665848809	한일다방	\N	NULL	서울 강남구 역삼로 161	NULL	\N	0.0	NULL	NULL	2024-03-30	\N	0
3	강남붕세권붕어빵	37.5028559304412	127.048503722691	강남붕세권붕어빵	\N	//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F56FBF8CD1AF841E3A2C110F7197A7021	서울 강남구 테헤란로52길 21	0507-2080-0584	\N	1.0	월~금 11:00 ~ 23:00 / 토 11:00 ~ 20:00 / 일 15:00 ~ 23:00	NULL	2024-03-30	\N	0
4	채우다 역삼DV점	37.4992762195697	127.035939534171	채우다 역삼DV점	\N	//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FFB53D24B7BAC4642A04073B8DAF87CA1	서울 강남구 테헤란로26길 14	0507-1349-4092	\N	0.0	매일 00:00 ~ 24:00	https://www.chewooda.com/	2024-03-30	\N	0
5	옵션스페셜티커피 역삼본점	37.5008314401643	127.032540768016	옵션스페셜티커피 역삼본점	\N	//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FC611D89B8C0D4147A1152E7B162F5AC2	서울 강남구 강남대로94길 67	02-567-9130	\N	5.0	NULL	NULL	2024-03-30	\N	0
6	업커피	37.493001500634	127.039117441369	업커피	\N	NULL	서울 강남구 논현로63길 16	NULL	\N	5.0	NULL	NULL	2024-03-30	\N	0
7	5센소커피 역삼점	37.500636679402	127.033057507432	5센소커피 역삼점	\N	//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FE3DE682D49584E8A90138FAE2E10C017	서울 강남구 강남대로94길 72	070-7735-7770	\N	5.0	월~금 07:30 ~ 19:30 / 토 09:00 ~ 18:00	NULL	2024-03-30	\N	0
8	커피노운	37.4995663638952	127.02934432493	커피노운	\N	NULL	서울 강남구 테헤란로5길 11	NULL	\N	5.0	NULL	NULL	2024-03-30	\N	0
9	심플리시티	37.5007422977207	127.032332642377	심플리시티	\N	//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F44298B6FB2DB4A189692AB44A5D14874	서울 강남구 테헤란로13길 16	NULL	\N	5.0	월~금 08:00 ~ 18:00	NULL	2024-03-30	\N	0
10	샌드백카페	37.4956114851537	127.044843063885	샌드백카페	\N	//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F23D4D985C74147F68F9B9EB8CB5BC955	서울 강남구 도곡로37길 29	NULL	\N	5.0	NULL	NULL	2024-03-30	\N	0
11	허닛	37.5019842117512	127.037331871196	허닛	\N	//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FE1B1EA8CC13946BD9A024A9E136F619F	서울 강남구 논현로 508	070-5088-2726	\N	4.3	월~금 08:30 ~ 19:30 / 월~금 휴게시간 15:00 ~ 16:00	https://www.instagram.com/hunnit_cruller	2024-03-30	\N	0
12	커피십오일 선릉역점	37.50560663079604	127.04643354564426	커피십오일 선릉역점	\N	//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F11706A4C4F5B2CE701	서울 강남구 테헤란로53길 21	02-557-1580	\N	3.5	월~금 11:00 ~ 22:00 / 토,일 12:00 ~ 19:00	NULL	2024-03-30	\N	0
13	테라바이트	37.5032786124814	127.043597954252	테라바이트	\N	//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FBAE0DDD1EFE64236B718F33A02A3B6DE	서울 강남구 테헤란로 305	02-6009-3330	\N	4.2	월~금 07:30 ~ 17:00	NULL	2024-03-30	\N	0
14	겸스커피	37.4936296175256	127.041423470323	겸스커피	\N	//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FED4191D6F084484EBD93207E7C0272F0	서울 강남구 논현로64길 14	02-6032-2044	\N	4.7	NULL	NULL	2024-03-30	\N	0
15	커피나인 강남비엘	37.4930165270166	127.030987062953	커피나인 강남비엘	\N	//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F90777B29A10A4F368D3FF904102CC9EB	서울 강남구 역삼로 106	070-8657-4999	\N	5.0	월~금 07:00 ~ 18:00 / 토 07:00 ~ 16:00 / 일 10:00 ~ 16:00	https://instagram.com/coffeenine_gangnambiel?igshid=MzMyNGUyNmU2YQ%3D%3D&utm_source=qr	2024-03-30	\N	0
16	칼마커피	37.4917269593763	127.03183800109	칼마커피	\N	//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F5BCF4ABD2EA74522B25864271C01162D	서울 강남구 강남대로66길 14	070-4233-4188	\N	5.0	월~금 07:00 ~ 21:00 / 토,일 09:00 ~ 18:00	NULL	2024-03-30	\N	0
